OBJECTID,PA_MCPI,POINT_X,POINT_Y,POINT_X_SP,POINT_Y_SP
114,003250167000,-77.34486267,39.04418279,11810993.7564583,7065390.14333333
115,003250295000,-77.34482038,39.0449567,11811002.2220833,7065672.14083333
116,003250303000,-77.3448506,39.04244753,11811005.1379167,7064758.22375
117,003250620000,-77.34467276,39.04287924,11811053.666875,7064916.08208333
118,003250633000,-77.34458622,39.04326454,11811076.48,7065056.71229167
119,003250647000,-77.3446669,39.04362272,11811051.9235417,7065186.86958334
120,003250676000,-77.34458194,39.04447674,11811072.136875,7065498.19708334
121,003251154000,-77.34446664,39.04380494,11811107.963125,7065253.94958334
122,003251315000,-77.34446045,39.04273146,11811114.6420833,7064863.02083333
123,003251529000,-77.34433728,39.0431452,11811147.7258333,7065014.14145833
124,003251541000,-77.34434373,39.04348445,11811144.3377083,7065137.66979167
125,003251765000,-77.34430057,39.04412695,11811153.65125,7065371.815
126,003251910000,-77.34421286,39.04258745,11811185.6195833,7064811.45979166
127,003252118000,-77.34412505,39.0428265,11811209.4627083,7064898.83374999
128,003252124000,-77.34409196,39.0430357,11811217.8997917,7064975.13875
129,003252148000,-77.34411421,39.04364186,11811208.8,7065195.81708333
130,003252157000,-77.34417501,39.04390672,11811190.3197917,7065292.05979167
131,003253149000,-77.34381264,39.04364873,11811294.4160417,7065199.395625
132,003253304000,-77.34368295,39.04242711,11811336.85375,7064754.96041666
133,003253640000,-77.34357334,39.04347675,11811363.1683333,7065137.62041667
134,003253734000,-77.34355809,39.04326697,11811368.461875,7065061.27458334
135,003253810000,-77.3435116,39.04261354,11811384.6616667,7064823.469375
136,003253827000,-77.34352924,39.04306416,11811377.5860417,7064987.51604167
137,003254115000,-77.34344666,39.04282156,11811402.1520833,7064899.46270834
138,003325590000,-77.3446384,39.04481143,11811054.5675,7065619.88666667
139,003325866000,-77.34458595,39.04414043,11811072.5402083,7065375.705
140,003335501000,-77.34460968,39.04509567,11811061.4233333,7065723.50687499
141,003335530000,-77.34465317,39.04589729,11811045.3970833,7066015.293125
142,003335725000,-77.34457865,39.04574846,11811067.2433333,7065961.3575
143,003335806000,-77.34454943,39.04525892,11811077.7839583,7065783.17479166
144,003335812000,-77.34452494,39.04542489,11811083.98,7065843.706875
145,003335817000,-77.34453537,39.04558931,11811080.26375,7065903.54916666
146,003335981000,-77.34448986,39.04729871,11811085.3504167,7066526.25708333
147,003345639000,-77.34456177,39.04889829,11811057.5979167,7067108.54875
148,003350278000,-77.34480945,39.04727809,11810994.6854167,7066517.60666667
149,003350335000,-77.34475138,39.04604056,11811016.8483333,7066067.11812501
150,003350363000,-77.34470855,39.0467997,11811025.53375,7066343.74062499
151,003350397000,-77.34468859,39.04774358,11811026.87625,7066687.56291667
152,003350490000,-77.34463709,39.04753194,11811042.471875,7066610.67083333
153,003351165000,-77.34443006,39.0468696,11811104.3008333,7066370.19374999
154,003351868000,-77.34414927,39.04692871,11811183.7725,7066392.72625001
155,003352386000,-77.34397563,39.04741426,11811230.858125,7066570.17770833
156,003352495000,-77.34395582,39.04767888,11811235.2683333,7066666.62041667
157,003352670000,-77.34387367,39.04698268,11811261.7920833,7066413.364375
158,003353189000,-77.34367191,39.04748602,11811316.781875,7066597.39708333
159,003353472000,-77.34359729,39.04703525,11811340.0389583,7066433.49791667
160,003353992000,-77.34340701,39.04758427,11811391.5585417,7066634.12625
161,003354274000,-77.34332233,39.04708769,11811417.8841667,7066453.58208333
162,003354897000,-77.34309426,39.0477259,11811479.724375,7066686.82791667
