OBJECTID,ZO_ZONE,ZO_ORDINANCE,ZO_SPEC_CODE,ZO_PROJ_NUM,ZO_UPDATE_NUM,ZO_ZONE_DATE,ZO_ZONE_ORD,ZO_MAINT_TASK_ID,ZO_GIS_START_DATE,ZO_GIS_END_DATE,ZO_UPD_DATE,SHAPE_Length,SHAPE_Area,NEW_ID,ZD_ZONE_NAME,ZD_ZONE_DESC,agstype
340,OP,2023,NV,ZMAP-2005-0008, ,2007/01/16 05:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,26205.37236,2893102.568,340,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
341,CLI,2023,NV, , ,1900/01/01 05:00:00+00,CLI  2023,2017_0021,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/02/16 05:00:00+00,2165.093747,117617.2678,341,Commercial/Light Industry,"Mix of similar and compatible light industrial uses and office uses and related supportive commercial, retail and service  uses on minimum one acre lots. Only along Route 50 from Fairfax/Loudoun County line west to Route 659.",CLI
342,OP,2023,NV,ZMAP-2022-0008, ,2023/12/13 05:00:00+00,OP 2023,2033_032,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/14 22:48:32+00,2652.585221,433409.0729,342,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
343,R4,2023,NONE,ZMAP-2012-0012, ,2013/06/19 04:00:00+00,R4  2023,2013_0004,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,5982.044734,2071242.016,343,Single Family Residential-4,"Moderate density single family detached development with a maximum density of 1 unit per 10,000 square feet, 4.8 units per acre with ADU. Served by public water and sewer. Cluster, suburban, and traditional design and compact cluster options.",R4
344,PDAAAR,2023,NONE,ZMAP-2012-0003, ,2013/07/17 04:00:00+00,PDAAAR2023,2013_0004,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3661.66975,731235.1651,344,Planned Development-Active Adult/Age Restricted,"Planned adult residential communities 55 years or older. Max 30 dwelling units per acre, 36 dwelling units per acre with ADU, public sewer and water, and are served by one or more major arterial or collector roads. Consistent with locations designated for high-density urban residential development.",PDAAAR
345,IP,2023,28,ZRTD-2013-0001, ,2013/06/19 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,2108.723155,275607.1594,345,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
346,IP,2023,NV,ZRTD-2012-0001, ,2012/06/12 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,2636.538529,269624.5221,346,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
347,GI,2023,28,ZRTD-2012-0004, ,2012/10/09 04:00:00+00,GI 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,1557.31123,138431.6865,347,General Industry,District for industrial uses that are incompatible with residential uses due to the prevelance of outdoor storage and emissions of noise and odor. ,GI
348,PDGI,1972,NV,ZMAP-1986-0022, ,1987/10/19 04:00:00+00,PDGI  1972, ,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,1900/01/01 05:00:00+00,270.670255,102.2816063,348,Planned Development-General Industrial,Medium intensity industrial uses with public nuisance potential.  It is only under the 1972 Ordinance.,PDGI
349,PDGI,1972,NV,ZMAP-1986-0022, ,1987/10/19 04:00:00+00,PDGI  1972, ,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,1900/01/01 05:00:00+00,152.9735377,9.01827894,349,Planned Development-General Industrial,Medium intensity industrial uses with public nuisance potential.  It is only under the 1972 Ordinance.,PDGI
350,OP,2023,NV,ZMAP-2002-0014, ,2003/01/06 05:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,2011.811188,235229.3394,350,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
351,R1,2023,NV,ZMAP-2005-0036,32,2005/11/09 05:00:00+00,R1  2023,2020_0025,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,2882.611741,319108.4731,351,Single Family Residential-1,"Low-density single family detached development with a maximum density of 1 unit per 40,000 square feet; 1.2 unit per 40,000 square feet with ADU. Served by public water and sewer. Cluster and compact cluster options.",R1
352,IP,2023,28,ZRTD-2011-0011, ,2012/03/13 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,2079.746586,246920.4964,352,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
353,IP,2023,28,ZRTD-2012-0002,0,2012/06/05 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,1618.489501,167657.6311,353,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
354,PDH4,2023,NV,ZMAP-2012-0020,,2014/07/16 04:00:00+00,PDH4  2023,2020_0028,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,5087.647355,1478591.012,354,Planned Development Housing-4,Mixed use residential communities including single family and multifamily housing products with supportive non-residential uses. Maximum overall residential density of 4 units per acre.,PDH4
355,IP,2023,28,ZRTD-2010-0002,185,2011/03/07 05:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3441.771456,632281.8605,355,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
356,IP,2023,28,NO VALUE,NO VALUE,1900/01/02 05:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,1808.782205,206557.0534,356,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
357,IP,2023,28,ZRTD-2017-0002,NO VALUE,2017/07/20 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,1850.346332,209500.4863,357,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
358,IP,2023,28,NO VALUE,NO VALUE,1900/01/02 05:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,974.0233809,44897.935,358,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
359,IP,2023,28,NO VALUE,NO VALUE,1900/01/02 05:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,6357.204691,164667.973,359,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
360,IP,2023,NV,ZMAP-1985-0014, ,1985/10/21 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3575.082692,122019.1295,360,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
361,GI,2023,28,ZRTD-2013-0002, ,2013/09/11 04:00:00+00,GI 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,1329.210249,105731.4481,361,General Industry,District for industrial uses that are incompatible with residential uses due to the prevelance of outdoor storage and emissions of noise and odor. ,GI
362,OP,2023,28,ZRTD-2011-0014,,2013/05/08 04:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,1083.358783,25510.3692,362,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
363,PDOP,1972,28,ZMAP-1990-0014,Z2000-0040,1991/12/17 05:00:00+00,PDOP  1972, ,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,1900/01/01 05:00:00+00,38543.54969,3336606.959,363,Planned Development-Office Park,"Office park established primarily for administrative, business, and professional offices designed in a parklike environment and subject to an adopted concept development plan.  This is for 1972 Ordinance only.",PDOP
