OBJECTID,SOILS_,SOILS_ID,SO_SOIL,SO_SLOPE,SO_UPD_DATE,SHAPE_Length,SHAPE_Area,SL_SOIL,SL_SOIL_NAME,SL_SLOPE_PERC,SL_FLOOD_POTENTIAL,SL_HGRP_NAME,SL_CWSD_POTENTIAL,SL_CWSD_POTENTIAL_DESC,SL_CWSD_LIMITATIONS,SL_SOIL_DEPTH,SL_STDF_POTENTIAL,SL_STDF_LIMITATIONS,SL_AG_POTENTIAL,SL_USDA_LANDUSE1,SL_USDA_LANDUSE2,SL_ASSOCIATION_NAME,SL_HYDRIC,SL_KARST,SL_LOW_BEARING_STRENGTH,SL_WATER_TABLE,SL_GWR_POTENTIAL,SL_SLIPPAGE_POTENTIAL,SL_LID_INFILTRATION_POTENTIAL,SL_SHRINK_SWELL_POTENTIAL,SL_ONISTE_SEWAGE_DISPOSAL,SL_ERODABILITY,SL_UPD_DATE,agstype,SOIL_CLASS
21,3482,3344,02A,A,2005/06/16 04:00:00+00,3816.547496,367894.0324,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
22,3559,3425,02A,A,2005/06/16 04:00:00+00,2085.601521,139232.9014,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
23,3593,3459,02A,A,2005/06/16 04:00:00+00,5563.345836,458667.9343,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
24,3723,3588,02A,A,2005/06/16 04:00:00+00,3624.306724,146920.2009,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
25,3765,3628,02A,A,2005/06/16 04:00:00+00,5208.434411,337453.7556,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
26,4002,3854,02A,A,2005/06/16 04:00:00+00,4151.938979,303539.9393,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
27,4072,3916,02A,A,2005/06/16 04:00:00+00,3990.818705,225299.3509,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
28,4087,3929,02A,A,2005/06/16 04:00:00+00,11901.28174,918614.3129,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
29,4231,4062,02A,A,2005/06/16 04:00:00+00,4086.114237,182181.7042,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
30,4235,4066,02A,A,2005/06/16 04:00:00+00,5161.865303,546823.2221,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
