OBJECTID,PA_TYPE,PA_UNITS,PA_PLAT_NUM,PA_PLAT_LOT,PA_LEGAL_ACRE,PA_SUBD_NAME,PA_SUBD_PHASE,PA_SUBD_SECT,PA_SUBD_BLOCK,PA_LEGAL_SQFT,PA_UPD_DATE,PA_MCPI,SHAPE_Length,SHAPE_Area
353,P,0, , ,10,FAIRFARM INC DIVISION, , , ,435600,,3.52E+11,2779.744847,437014.292
354,P,0, , ,2.369, , , , ,103237.2,,4.14E+11,1663.411044,108163.6043
355,P,0, , ,12, , , , ,522720,,5.51E+11,3217.561073,507561.1039
356,P,0, , ,6,CAMPBELL DIVISION, , , ,261360,,4.14E+11,2071.784581,265405.8719
357,P,0, , ,4,CAMPBELL DIVISION, , , ,174240,,4.14E+11,1686.5001,175660.6236
358,P,0, , ,16.304, , , , ,710202.24,,6.05E+11,3373.431181,705267.4814
359,P,0, , ,0.28,TOWN OF WATERFORD, , , ,12196.8,,3.04E+11,498.2730898,12747.30492
360,P,0, , ,0.25,TOWN OF WATERFORD, , , ,10890,,3.04E+11,482.9782448,11744.37264
361,P,0, , ,16.579, , , , ,722224.8,,5.80E+11,6060.798967,719068.6304
362,P,0, , ,3.299, , , , ,143748,,4.14E+11,3159.173624,151227.7021
363,P,0, , ,0.239,TOWN OF WATERFORD, , , ,10454.4,,3.04E+11,426.4237163,11751.66273
364,P,0, , ,0.079,TOWN OF WATERFORD, , , ,3484.8,,3.04E+11,244.9367967,3548.625624
365,P,0, , ,0.5,TOWN OF WATERFORD, , , ,21780,,3.04E+11,622.3076318,22334.13741
366,P,0, , ,10.159, , , , ,442569.6,,4.14E+11,2885.757254,452134.5786
367,P,0, , ,0.479,TOWN OF WATERFORD, , , ,20908.8,,3.04E+11,595.5693301,21783.40187
368,P,0, , ,2.089,FARMINGTON ON THE GREEN, , , ,91040.4,,5.24E+11,1220.394945,90670.10001
369,P,0, , ,0.3,EXETER, ,9, ,13068,,2.30E+11,458.7612998,13243.22787
370,P,0, , ,0.189,TOWN OF PURCELLVILLE, , , ,8276.4,,4.88E+11,353.013237,7786.026088
371,P,0, , ,0.239,PAXTON, ,1, ,10454.4,,2.30E+11,411.7290531,10600.46004
372,P,0, , ,17.371, , , , ,756680.76,,6.05E+11,3492.530498,761120.6953
373,P,0, , ,0.079,EXETER, ,5, ,3484.8,,1.87E+11,271.7716104,3465.654904
374,P,0, , ,50.74, , , , ,2210234.4,,5.80E+11,6134.177658,2176012.414
375,P,0, , ,10.869, , , , ,473497.2,,5.80E+11,3287.64327,460349.8323
376,P,0, , ,10.869, , , , ,473497.2,,5.80E+11,3345.708566,464172.3695
377,P,0, ,42A1,3.648, , , , ,158950.44,,45402669000,1850.575811,159929.9241
378,P,0, , ,3.609,FARMINGTON ON THE GREEN, , , ,157251.6,,5.24E+11,1632.434104,158148.9069
379,P,0, , ,3, , , , ,130680,,3.48E+11,1418.312918,118985.152
380,P,0, , ,13.02, , , , ,567151.2,,5.24E+11,3446.789316,562515.7673
381,P,0, , ,1.649,FARMINGTON ON THE GREEN, , , ,71874,,5.24E+11,1192.400517,71166.18956
382,P,0, , ,1.71,FARMINGTON ON THE GREEN, , , ,74487.6,,5.24E+11,1171.818178,73542.45932
383,P,0, , ,2.16,FARMINGTON ON THE GREEN, , , ,94089.6,,5.24E+11,1233.431673,94670.38484
384,P,0, , ,1.549,FARMINGTON ON THE GREEN, , , ,67518,,5.24E+11,1075.295139,66257.20299
385,P,0, , ,2.759,FARMINGTON ON THE GREEN, , , ,120225.6,,5.24E+11,1528.449876,118984.3293
386,P,0, , ,1.549,FARMINGTON ON THE GREEN, , , ,67518,,5.24E+11,1101.452425,66335.48407
387,P,0, , ,1.84,FARMINGTON ON THE GREEN, , , ,80150.4,,5.24E+11,1119.722444,78205.02512
388,P,0, , ,7.659,FARMINGTON ON THE GREEN, , , ,333669.6,,5.24E+11,3518.262574,334114.0695
389,P,0, , ,4.03,FARMINGTON ON THE GREEN, , , ,175546.8,,5.24E+11,1874.557345,176565.6546
390,P,0, , ,3, , , , ,130680,,3.48E+11,1546.504423,133062.2637
391,P,0, , ,1.73,FARMINGTON ON THE GREEN, , , ,75358.8,,5.24E+11,1129.616091,75070.35896
392,P,0, , ,0.349,HOOPES SUBDIVISION, , ,A,15246,2007/01/08 05:00:00+00,4.88E+11,526.9159096,15443.05892
393,P,0, , ,4.17,FARMINGTON ON THE GREEN, , , ,181645.2,,5.24E+11,1761.786421,178517.0072
394,P,0, , ,0.5, , , , ,21780,,4.55E+11,649.5919533,24700.99295
395,P,0, , ,0.54,TOWN OF LINCOLN, , , ,23522.4,,4.55E+11,677.6682516,21800.30681
396,P,0, , ,0.62,TOWN OF LINCOLN, , , ,27007.2,,4.55E+11,693.8762226,26519.03698
397,P,0, , ,2.339,FARMINGTON ON THE GREEN, , , ,101930.4,,5.24E+11,1819.4348,101707.5528
398,P,0, , ,2.599,FARMINGTON ON THE GREEN, , , ,113256,,5.24E+11,1343.13217,112523.8704
399,P,0, , ,3.25,TOWN OF LINCOLN, , , ,141570,,4.55E+11,1973.190167,140516.9352
400,P,0, , ,0.209,TOWN OF LINCOLN, , , ,9147.6,,4.55E+11,466.5310592,9295.59652
401,P,0, , ,0.27,TOWN OF ROUND HILL, , , ,11761.2,1899/12/31 05:00:00+00,5.84E+11,431.1348441,10959.55954
402,P,0, , ,1.559,FARMINGTON ON THE GREEN, , , ,67953.6,,5.24E+11,1092.224206,69075.01307
403,P,0, , ,2.089,FARMINGTON ON THE GREEN, , , ,91040.4,,5.24E+11,1206.525681,89666.89427
404,P,0, , ,0.5,TOWN OF LINCOLN, , , ,21780,,4.55E+11,533.627257,16681.31451
405,P,0, , ,0.209,EXETER, ,5, ,9147.6,,1.87E+11,400.8867287,9015.654851
406,P,0, , ,0.189,EXETER, ,3, ,8276.4,,1.87E+11,371.5653705,8409.7027
407,P,0, , ,2.329,FARMINGTON ON THE GREEN, , , ,101494.8,,5.24E+11,1437.061208,100744.2988
408,P,0, , ,0.209,EXETER, ,3, ,9147.6,,2.30E+11,390.1471326,9264.835898
409,P,0, , ,4.65, , , , ,202554,,1.87E+11,1930.621927,202487.1066
410,P,0, , ,0.28,EXETER, ,3, ,12196.8,,1.87E+11,450.5794442,12378.10144
411,P,0, , ,0.219,EXETER, ,5, ,9583.2,,1.87E+11,387.3111351,9636.997548
412,P,0, , ,0.189,EXETER, ,3, ,8276.4,,1.87E+11,368.2689436,8381.453873
413,P,0, , ,0.259,EXETER, ,3, ,11325.6,,2.30E+11,427.0170255,11415.41207
414,P,0, , ,0.159,EXETER, ,5, ,6969.6,,1.87E+11,338.804872,6811.676447
415,P,0, , ,0.159,EXETER, ,5, ,6969.6,,1.87E+11,326.6569293,6920.386158
416,P,0, , ,0.209,EXETER, ,3, ,9147.6,,1.87E+11,409.9411404,9206.392817
417,P,0, , ,0.23,EXETER, ,5, ,10018.8,,1.87E+11,426.1845126,10214.70976
